concept,grasp_rating,hold_rating
spoon,6.837799999999999,6.8919
cashew,6.837799999999999,6.837799999999999
pom-pom,6.825,6.849999999999999
mitten,6.8,6.8571
candy_bar,6.7692000000000005,6.8718
comb,6.75,6.8889
napkin_ring,6.75,6.805600000000001
pencil_sharpener,6.7429,6.8571
banana,6.7368,6.8158
toilet_paper,6.7297,6.756800000000001
spatula,6.7222,6.7222
peanut,6.7179,6.8718
undershirt,6.7179,6.7436
key,6.7105,6.842099999999999
walnut,6.694399999999999,6.805600000000001
cherry,6.6923,6.794900000000001
playing_card,6.6857,6.7714
pecan,6.6857,6.7429
scallion,6.6857,6.828599999999999
saltshaker,6.6842,6.5789
highlighter,6.6842,6.7895
bagel,6.6757,6.7297
brush,6.6667,6.697
dishrag,6.6667,6.7692000000000005
rattle,6.6667,6.7778
sock,6.657900000000001,6.8158
apple,6.657900000000001,6.7368
hairbrush,6.650000000000001,6.675
tweezers,6.648599999999999,6.6757
pacifier,6.6452,6.8387
dice,6.641000000000001,6.794900000000001
spinach,6.6389,6.694399999999999
cane,6.6389,6.7222
tie,6.6216,6.7027
shell2,6.6216,6.7027
racket,6.6176,6.6765
umbrella,6.6154,6.5385
hotdog,6.6154,6.7692000000000005
cup,6.6111,6.6667
pencil,6.6111,6.75
microphone,6.6053,6.7368
shower_cap,6.6053,6.8684
shirt,6.6053,6.7368
inhaler,6.6053,6.7105
cranberry,6.599999999999999,6.7429
whip,6.599999999999999,6.6571
wallet,6.5946,6.7027
duster,6.5946,6.648599999999999
phone,6.593799999999999,6.8125
gearshift,6.5897,5.3333
donut,6.5882,6.647099999999999
chocolate,6.5833,6.7222
headphones,6.5833,6.6389
popsicle,6.5789,6.7105
envelope,6.5789,6.8158
egg_roll,6.5789,6.6316
boxer_shorts,6.5789,6.7105
acorn,6.5714,6.7429
roll,6.5676,6.6757
stamp2,6.5676,6.5946
hanger,6.5676,6.4054
bag,6.5676,6.5946
crayon,6.552600000000001,6.7368
ruler,6.552600000000001,6.7895
strawberry,6.552600000000001,6.6053
hamburger,6.552600000000001,6.6053
wand,6.552600000000001,6.6053
trowel,6.55,6.650000000000001
cupcake,6.55,6.650000000000001
eyedropper,6.5429,6.6286
paintbrush,6.5429,6.5429
peeler,6.5429,6.5714
lollipop,6.5429,6.714299999999999
broccoli,6.540499999999999,6.6757
t-shirt,6.540499999999999,6.7027
ring,6.540499999999999,6.8108
cinnamon,6.5385,6.6667
lego,6.5385,6.7179
quill,6.5385,6.6154
paper,6.5385,6.7436
pastry,6.5278,6.6389
bib,6.5278,6.6111
calculator,6.5263,6.552600000000001
lime,6.5263,6.842099999999999
bracelet2,6.525000000000001,6.675
towel,6.514300000000001,6.6857
cellphone,6.5135,6.7297
plate,6.5135,6.648599999999999
stopwatch,6.5135,6.7027
whisk,6.5135,6.5946
thimble,6.5135,6.6757
book,6.512800000000001,6.5385
broom,6.512800000000001,6.5897
garter,6.5,6.6316
lip_balm,6.5,6.7059
glass,6.5,6.7632
cardigan,6.5,6.6389
magnifying_glass,6.5,6.6667
leggings,6.5,6.657900000000001
petal,6.487199999999999,6.7436
muffin,6.487199999999999,6.794900000000001
raspberry,6.487199999999999,6.7436
watch,6.487199999999999,6.6923
ladle,6.485699999999999,6.514300000000001
compass,6.485699999999999,6.599999999999999
credit_card,6.474999999999999,6.775000000000001
needle,6.4737,6.6053
pickle,6.4737,6.552600000000001
toothpick,6.4737,6.5789
chess_piece,6.4737,6.657900000000001
pistachio,6.4722,6.694399999999999
onion,6.4722,6.6111
eyepiece,6.4615,6.5897
scone,6.4615,6.5897
pear,6.4615,6.512800000000001
beaker,6.4615,6.5641
screwdriver,6.4615,6.5385
flashlight,6.4615,6.5897
bandage,6.459500000000001,6.7838
tomato,6.459500000000001,6.6216
mango,6.4571,6.6857
candy,6.4545,6.697
hairpin,6.447399999999999,6.657900000000001
dish,6.447399999999999,6.552600000000001
hammer,6.444399999999999,6.3611
pea,6.444399999999999,6.6389
tab,6.444399999999999,6.6389
thermometer,6.444399999999999,6.4167
cork,6.444399999999999,6.694399999999999
tongs,6.441199999999999,6.647099999999999
polaroid,6.4359,6.512800000000001
cufflink,6.4359,6.5641
cucumber,6.4359,6.5385
battery,6.4359,6.5641
jersey,6.4324,6.6216
tiara,6.4324,6.4865
carrot,6.4324,6.756800000000001
macadamia,6.4324,6.7838
lightbulb,6.4324,6.5135
gauze,6.4324,6.648599999999999
wheat,6.4324,6.4324
pomegranate,6.4286,6.6571
wig,6.4286,6.514300000000001
sweatsuit,6.4286,6.485699999999999
bean,6.425,6.650000000000001
meatball,6.425,6.5
peach,6.4211,6.6053
breadstick,6.4211,6.552600000000001
flower,6.4211,6.447399999999999
ribbon,6.4211,6.6316
stethoscope,6.4211,6.5263
hand,6.4211,6.5789
crouton,6.4211,6.6842
popcorn,6.4167,6.555600000000001
clipboard,6.4167,6.6111
knife,6.4167,6.5278
fig,6.4167,6.5833
kettle,6.4167,6.5278
anklet,6.4167,6.5833
tortilla,6.4118,6.558800000000001
parsley,6.4103,6.6667
ukulele,6.4054,6.5676
grape,6.4054,6.7027
yo-yo,6.400000000000001,6.599999999999999
egg,6.400000000000001,6.6571
flyswatter,6.400000000000001,6.5429
lemon,6.400000000000001,6.575
blackberry,6.3947,6.657900000000001
pinwheel,6.3947,6.4737
kazoo,6.3889,6.6667
pillow,6.3889,6.555600000000001
hula_hoop,6.3889,6.555600000000001
silverware,6.3846,6.7179
diaper,6.3846,6.487199999999999
stapler,6.3846,6.3333
razor,6.3846,6.358999999999999
sombrero,6.3846,6.4359
