concept,grasp_rating,hold_rating
spoon,6.837799999999999,6.8919
comb,6.75,6.8889
candy_bar,6.7692000000000005,6.8718
peanut,6.7179,6.8718
shower_cap,6.6053,6.8684
pencil_sharpener,6.7429,6.8571
mitten,6.8,6.8571
pom-pom,6.825,6.849999999999999
key,6.7105,6.842099999999999
lime,6.5263,6.842099999999999
pacifier,6.6452,6.8387
cashew,6.837799999999999,6.837799999999999
scallion,6.6857,6.828599999999999
envelope,6.5789,6.8158
banana,6.7368,6.8158
sock,6.657900000000001,6.8158
phone,6.593799999999999,6.8125
ring,6.540499999999999,6.8108
napkin_ring,6.75,6.805600000000001
walnut,6.694399999999999,6.805600000000001
cherry,6.6923,6.794900000000001
muffin,6.487199999999999,6.794900000000001
dice,6.641000000000001,6.794900000000001
highlighter,6.6842,6.7895
ruler,6.552600000000001,6.7895
bandage,6.459500000000001,6.7838
macadamia,6.4324,6.7838
rattle,6.6667,6.7778
credit_card,6.474999999999999,6.775000000000001
playing_card,6.6857,6.7714
dishrag,6.6667,6.7692000000000005
hotdog,6.6154,6.7692000000000005
glass,6.5,6.7632
carrot,6.4324,6.756800000000001
toilet_paper,6.7297,6.756800000000001
pencil,6.6111,6.75
raspberry,6.487199999999999,6.7436
undershirt,6.7179,6.7436
paper,6.5385,6.7436
petal,6.487199999999999,6.7436
pecan,6.6857,6.7429
cranberry,6.599999999999999,6.7429
acorn,6.5714,6.7429
shirt,6.6053,6.7368
apple,6.657900000000001,6.7368
crayon,6.552600000000001,6.7368
microphone,6.6053,6.7368
bagel,6.6757,6.7297
cellphone,6.5135,6.7297
videocassette,6.3784,6.7297
chocolate,6.5833,6.7222
cane,6.6389,6.7222
spatula,6.7222,6.7222
silverware,6.3846,6.7179
lego,6.5385,6.7179
lollipop,6.5429,6.714299999999999
boxer_shorts,6.5789,6.7105
inhaler,6.6053,6.7105
pill,6.2105,6.7105
popsicle,6.5789,6.7105
lip_balm,6.5,6.7059
stopwatch,6.5135,6.7027
grape,6.4054,6.7027
wallet,6.5946,6.7027
t-shirt,6.540499999999999,6.7027
tie,6.6216,6.7027
shell2,6.6216,6.7027
candy,6.4545,6.697
brush,6.6667,6.697
pistachio,6.4722,6.694399999999999
spinach,6.6389,6.694399999999999
cork,6.444399999999999,6.694399999999999
watch,6.487199999999999,6.6923
mango,6.4571,6.6857
towel,6.514300000000001,6.6857
paperclip,6.2571,6.6857
chalk,6.3684,6.6842
crouton,6.4211,6.6842
racket,6.6176,6.6765
thimble,6.5135,6.6757
roll,6.5676,6.6757
tweezers,6.648599999999999,6.6757
brownie,6.2973,6.6757
broccoli,6.540499999999999,6.6757
bracelet2,6.525000000000001,6.675
hairbrush,6.650000000000001,6.675
kazoo,6.3889,6.6667
bread,6.3611,6.6667
magnifying_glass,6.5,6.6667
cinnamon,6.5385,6.6667
marshmallow,6.3333,6.6667
parsley,6.4103,6.6667
cup,6.6111,6.6667
chess_piece,6.4737,6.657900000000001
leggings,6.5,6.657900000000001
hairpin,6.447399999999999,6.657900000000001
blackberry,6.3947,6.657900000000001
whip,6.599999999999999,6.6571
pomegranate,6.4286,6.6571
egg,6.400000000000001,6.6571
trowel,6.55,6.650000000000001
bean,6.425,6.650000000000001
cupcake,6.55,6.650000000000001
duster,6.5946,6.648599999999999
gauze,6.4324,6.648599999999999
plate,6.5135,6.648599999999999
donut,6.5882,6.647099999999999
tongs,6.441199999999999,6.647099999999999
headphones,6.5833,6.6389
pea,6.444399999999999,6.6389
tab,6.444399999999999,6.6389
pastry,6.5278,6.6389
cardigan,6.5,6.6389
cookie,6.2778,6.6389
ribbon,6.4211,6.6316
suspenders,6.3158,6.6316
egg_roll,6.5789,6.6316
garter,6.5,6.6316
blueberry,6.2368,6.6316
eyedropper,6.5429,6.6286
jersey,6.4324,6.6216
doll,6.351400000000001,6.6216
tomato,6.459500000000001,6.6216
leek,6.1765,6.6176
pretzel,6.3077,6.6154
quill,6.5385,6.6154
bib,6.5278,6.6111
onion,6.4722,6.6111
clipboard,6.4167,6.6111
retainer,6.303,6.6061000000000005
coin,6.2105,6.6053
needle,6.4737,6.6053
peach,6.4211,6.6053
wand,6.552600000000001,6.6053
strawberry,6.552600000000001,6.6053
hamburger,6.552600000000001,6.6053
yo-yo,6.400000000000001,6.599999999999999
compass,6.485699999999999,6.599999999999999
earring,6.25,6.599999999999999
bag,6.5676,6.5946
stamp2,6.5676,6.5946
whisk,6.5135,6.5946
scone,6.4615,6.5897
eyepiece,6.4615,6.5897
flashlight,6.4615,6.5897
joystick,6.358999999999999,6.5897
