uniqueID,grasp_rating
aardvark,3.1579
abacus,5.5128
accordion,4.8889
acorn,6.5714
air_conditioner,3.3947
air_mattress,4.8056
air_pump,6.2105
airbag,3.5676
airboat,3.0
aircraft_carrier,2.0833
airplane,1.8684
album,6.1579
alligator,2.05
almond,6.3143
aloe,5.2632
alpaca,3.1944
altar,4.359
aluminum_foil,6.2162
amber,5.5
ambulance,3.1389
amplifier,4.3333
anchor,3.5946
ankle,5.8108
anklet,6.4167
ant,4.9444
anteater,3.4865
antelope,2.3056
antenna,4.2895
anvil,2.8611
appetizer,6.4595
apple,6.6579
apple_tree,4.3684
applesauce,4.6111
apron,6.3429
aquarium,3.641
arch,2.3158
arm,5.9474
armor,4.6842
arrow,6.2051
artichoke,5.9211
arugula,6.6667
ashtray,5.8947
asparagus,5.8684
avocado,6.2432
awning,4.0
axe,5.641
baby,5.9167
backdrop,5.2432
backgammon,5.5263
backpack,5.8974
backscratcher,6.5526
bacon,6.6111
badge,6.6757
badger,3.0526
bag,6.5676
bagel,6.6757
bagpipe,5.2432
baklava,6.1795
balance_beam,4.4615
ball,6.0526
balloon,5.7778
ballot_box,5.0833
bamboo,5.8
banana,6.7368
banana_peel,6.35
banana_split,5.3333
bandage,6.4595
bandanna,6.6286
banjo,5.7297
bank,5.4103
banner,5.25
barbed_wire,2.2222
barbell,5.0833
barcode,4.1026
bark,4.7949
barnacle,4.7222
barrel,3.0811
barrette,6.4722
baseball,6.5
baseball_bat,6.0
baseball_glove,6.1667
basil,6.3846
basket,6.3333
basketball,5.7692
basketball_hoop,4.5946
bassinet,5.0541
bassoon,5.3684
bat1,3.7568
bat2,6.4054
bathmat,6.2051
bathrobe,6.3056
bathtub,4.0857
baton1,6.359
baton2,6.2432
baton3,6.35
baton4,6.4324
batter,3.0
battery,6.4359
bazooka,4.0526
beachball,5.4872
bead,6.6053
beaker,6.4615
bean,6.425
beanbag,4.8684
beanie,6.5676
bear,1.6053
beard,5.3514
beaver,3.1316
bed,3.3714
bedpan,5.75
bedpost,5.5385
bee,3.0
beehive,2.6286
beer,4.9444
beet,6.2368
beetle,5.4103
bell,5.1892
bell_pepper,6.5
belt,6.3947
belt_buckle,6.4324
bench,4.3333
berry,6.6389
bib,6.5278
bike,5.5
bikini,6.5556
bin,5.1111
binder,6.1667
binoculars,6.1892
bird,3.3429
birdbath,3.8611
birdcage,5.4
birdhouse,5.2821
birthday_cake,4.8718
biscuit,6.6154
bison,1.7838
blackberry,6.3947
blanket,6.2703
blazer,5.9459
blender,5.4211
blimp,1.8718
blind,5.7027
blinder,5.4857
blindfold,6.5278
block,5.6667
blouse,6.359
blower,5.1579
blowfish,2.1892
blowgun,6.2571
blowtorch,5.8378
blueberry,6.2368
boa,6.2286
boar,2.8
board,5.1538
board_game,6.1351
boat,3.3889
bobsled,4.0256
bok_choy,6.0541
bolo_tie,6.4865
bologna,6.0
bolt,6.1579
bomb,2.0513
bone,5.6857
bongo,5.359
bonnet,6.3421
bonsai,5.2973
book,6.5128
bookmark,6.4872
bookshelf,3.6944
boomerang,6.3784
boot,5.9167
bottle,6.2821
bottle_opener,6.5143
boulder,1.775
bouquet,6.4054
bow1,6.6
bow2,5.6316
bow3,6.1842
bowl,6.1316
bowler_hat,6.4
bowling_ball,5.4722
bowtie,6.1389
box,5.1081
boxer_shorts,6.5789
boxing_gloves,5.7632
boy,4.8205
bra,6.4
brace,6.2105
bracelet1,6.7027
bracelet2,6.525
bracket,5.9706
braid,5.9429
brake,5.0541
branch,5.5946
brass_knuckles,5.9474
bread,6.3611
breadbox,5.1282
breadstick,6.4211
breakfast,5.8205
breathalyzer,6.2703
brick,5.35
briefcase,6.2162
broccoli,6.5405
brooch,6.5429
broom,6.5128
brownie,6.2973
brush,6.6667
brussels_sprouts,6.3333
bubble,2.5833
bubble_wrap,6.4324
bucket,6.1429
buckle,6.3077
buffet,3.1714
bug,4.7297
buggy,3.5278
bull,2.3077
bulldozer,2.6111
bullet,6.2222
bulletin_board,4.7368
bulletproof_vest,5.6667
bumper,3.7692
bun,6.6389
bungee,6.3243
bunkbed,4.15
buoy,4.75
burner,4.1842
burrito,5.8333
bus,2.6053
bush,4.0
butter,5.0
butterfly,3.5897
button1,6.4324
button2,5.0
cabbage,5.8947
cabinet,3.4737
cable,5.8649
cactus,1.7222
cage,4.6389
cake,4.7838
cake_mix,4.2162
calamari,6.1351
calculator,6.5263
calf1,3.7353
calf2,5.6176
calzone,6.2703
camcorder,6.1081
camel,2.9143
camera1,5.8684
camera2,6.027
camera_lens,5.7949
camper,2.8421
can,6.4474
can_opener,6.3077
candelabra,5.95
candle,6.1892
candlestick,6.2
candy,6.4545
candy_bar,6.7692
candy_cane,6.5278
cane,6.6389
canister,5.6053
cannon,2.5526
cannonball,2.8649
canoe,3.7632
cantaloupe,5.2703
canvas,5.9744
cap,6.7179
cape,6.1389
car,3.9474
car_door,5.7838
car_seat,4.8421
caramel,6.0526
card,6.5526
cardboard,5.8421
cardigan,6.5
cardinal,3.1538
carousel,4.0541
carriage,3.4359
carrot,6.4324
cart,5.1667
cash_machine,3.2353
cash_register,4.6389
cashew,6.8378
casserole,5.027
cassette,6.359
cat,5.0256
catapult,3.5526
caterpillar,5.7941
catfish,3.1026
