uniqueID,hold_rating
aardvark,3.1842
abacus,5.4359
accordion,4.9167
acorn,6.7429
air_conditioner,2.6316
air_mattress,4.5556
air_pump,6.1316
airbag,3.4054
airboat,1.7027
aircraft_carrier,1.1944
airplane,1.3158
album,6.3684
alligator,1.475
almond,6.6
aloe,5.4474
alpaca,2.4444
altar,2.9487
aluminum_foil,6.3514
amber,5.8611
ambulance,1.3889
amplifier,3.9722
anchor,1.8919
ankle,5.4595
anklet,6.5833
ant,5.1667
anteater,2.5946
antelope,1.8611
antenna,3.6316
anvil,1.6111
appetizer,6.6486
apple,6.7368
apple_tree,2.6053
applesauce,4.9444
apron,6.6
aquarium,2.7436
arch,1.5
arm,5.8947
armor,4.0789
arrow,6.359
artichoke,6.3421
arugula,6.641
ashtray,6.1842
asparagus,6.1316
avocado,6.5676
awning,3.1143
axe,5.4103
baby,5.9722
backdrop,4.3514
backgammon,5.7368
backpack,6.0769
backscratcher,6.6842
bacon,6.5278
badge,6.7297
badger,2.7368
bag,6.5946
bagel,6.7297
bagpipe,5.4865
baklava,6.3077
balance_beam,2.9231
ball,6.5
balloon,6.3056
ballot_box,5.3611
bamboo,5.775
banana,6.8158
banana_peel,6.425
banana_split,5.5897
bandage,6.7838
bandanna,6.7714
banjo,5.8919
bank,5.1795
banner,5.2
barbed_wire,2.0833
barbell,4.1667
barcode,4.1795
bark,4.8205
barnacle,4.8889
barrel,2.8378
barrette,6.6111
baseball,6.6053
baseball_bat,6.3333
baseball_glove,6.2222
basil,6.5641
basket,6.359
basketball,6.2821
basketball_hoop,4.1081
bassinet,4.2973
bassoon,5.1316
bat1,3.5405
bat2,6.5676
bathmat,6.2051
bathrobe,6.4167
bathtub,2.0286
baton1,6.4359
baton2,6.1892
baton3,6.475
baton4,6.4865
batter,3.0811
battery,6.5641
bazooka,3.8684
beachball,6.2308
bead,6.7368
beaker,6.5641
bean,6.65
beanbag,4.8421
beanie,6.7568
bear,1.3947
beard,4.7838
beaver,3.1316
bed,2.2286
bedpan,5.9167
bedpost,4.6154
bee,3.0
beehive,2.0
beer,5.25
beet,6.5
beetle,5.641
bell,5.1622
bell_pepper,6.75
belt,6.6316
belt_buckle,6.5405
bench,3.0278
berry,6.7778
bib,6.6111
bike,4.9474
bikini,6.6389
bin,5.2222
binder,6.4444
binoculars,6.3784
bird,3.7714
birdbath,2.7222
birdcage,5.2
birdhouse,5.5641
birthday_cake,5.5385
biscuit,6.7692
bison,1.4865
blackberry,6.6579
blanket,6.3514
blazer,6.2973
blender,5.7895
blimp,1.4615
blind,5.1622
blinder,5.8
blindfold,6.6944
block,5.8333
blouse,6.4872
blower,4.5789
blowfish,2.1622
blowgun,6.2571
blowtorch,5.973
blueberry,6.6316
boa,6.5429
boar,2.1
board,4.7436
board_game,6.2703
boat,2.0278
bobsled,2.7436
bok_choy,6.4595
bolo_tie,6.7027
bologna,6.1316
bolt,6.3158
bomb,1.4872
bone,5.8857
bongo,5.1538
bonnet,6.5526
bonsai,5.0541
book,6.5385
bookmark,6.641
bookshelf,2.3889
boomerang,6.5676
boot,6.2778
bottle,6.3333
bottle_opener,6.6
boulder,1.25
bouquet,6.5946
bow1,6.7429
bow2,5.6842
bow3,6.6579
bowl,6.4474
bowler_hat,6.5143
bowling_ball,5.3889
bowtie,6.4722
box,5.4054
boxer_shorts,6.7105
boxing_gloves,6.2632
boy,4.6923
bra,6.5714
brace,6.3684
bracelet1,6.8108
bracelet2,6.675
bracket,6.1176
braid,5.8571
brake,5.0541
branch,5.0541
brass_knuckles,6.1316
bread,6.6667
breadbox,4.7436
breadstick,6.5526
breakfast,5.6667
breathalyzer,6.6486
brick,5.275
briefcase,6.2973
broccoli,6.6757
brooch,6.7143
broom,6.5897
brownie,6.6757
brush,6.697
brussels_sprouts,6.4872
bubble,2.1667
bubble_wrap,6.4324
bucket,5.9714
buckle,6.4615
buffet,2.8
bug,4.7568
buggy,1.75
bull,1.4359
bulldozer,1.6667
bullet,6.3889
bulletin_board,4.4474
bulletproof_vest,5.8889
bumper,3.4359
bun,6.75
bungee,6.4054
bunkbed,1.975
buoy,4.3
burner,3.7368
burrito,6.1389
bus,1.5
bush,2.9231
butter,5.4722
butterfly,4.2821
button1,6.6757
button2,4.6757
